channel,revenue_2024_01_01,installs/users_2024_01_01,events_2024_01_01,network_clicks_x,network_impressions_x,network_installs_x,installs_x,network_installs_diff_x,cost_x,network_clicks_y,network_impressions_y,network_installs_y,installs_y,network_installs_diff_y,cost_y
channel 1,0.220928395,7,111,22148,1477049,33275,488,33763,29039.944399999997,7372,542757,8941,488,9429,4958.9105
channel 10,1.369706201,17,21,0,0,0,243,243,0.0,0,0,0,243,243,0.0
channel 2,0.47351,4,2,2947,681745,85,0,85,484.25600000000003,2947,681745,85,0,85,484.25600000000003
channel 3,0.342264423,11,86,6380,170249,49,2,47,200.2379,6380,170249,49,2,47,200.2379
channel 4,1.8780779,9,4,599,161172,16,118,102,1171.24,599,161172,16,118,102,1171.24
channel 5,0.013703955,4,10,8856,32425,202,201,1,544.5124,8856,32425,202,201,1,544.5124
channel 6,1.165710458,13,49,4538,39914,187,187,2,1120.4695000000002,4538,39914,187,187,2,1120.4695000000002
channel 7,0.718039541,9,5,228,22406,31,6,25,512.39,228,22406,31,6,25,512.39
channel 8,0.0503344,1,1,104329,347301,855,862,17,3475.0498000000002,104329,347301,855,862,17,3475.0498000000002
channel 9,0.37786041000000004,20,30,0,175,0,0,0,10.845,0,175,0,0,0,10.845
